latitude	longitude	altitude	geometry	coordinates	OBJECTID	CODE	GIS_PIN	GlobalID	GISPINOLD	SHAPE_Leng	ShapeSTArea	ShapeSTLength	Bldg_Type												
			Polygon	-72.7154119225515,41.743261571388935,-72.71539720691973,41.74325552353243,-72.7153780550796,41.74324765281953,-72.71515319761049,41.74355454613656,-72.71542314383058,41.743665482990316,-72.71542967626698,41.74366816749234,-72.71542897192329,41.74365209744481,-72.71542816142923,41.74363360611754,-72.71542250535572,41.74350374333685,-72.71542218866078,41.7434964720927,-72.71542182803059,41.743488192069485,-72.71541621586724,41.74335933805079,-72.71541422611462,41.743314174556254,-72.71541302998304,41.743287025024756,-72.7154119225515,41.743261571388935	181573	PIN	117475007		106001002		6161.981262	372.4080981	WAREHSE												
			Polygon	-72.71362466510575,41.744870602524315,-72.71454760064682,41.74526882045352,-72.7145484226455,41.74526917574866,-72.7148235294348,41.74489502878521,-72.7148244988235,41.74489370558556,-72.71489661402354,41.74479526865635,-72.71491164897051,41.74477471848773,-72.71492785739095,41.74475257696082,-72.71497168155483,41.74469275054577,-72.71499976823222,41.74465440809553,-72.71503062225514,41.744612292102175,-72.71508788710261,41.74453412509196,-72.71510860220087,41.74450586359106,-72.71513046128723,41.74447604132614,-72.7151760057043,41.7444138145657,-72.7152072588635,41.74437114365457,-72.71526412393902,41.74429350397341,-72.71529648950681,41.74424931408003,-72.71534499499136,41.74418308773294,-72.71532070277046,41.74417265727473,-72.71482622457816,41.74396033446016,-72.7148619310968,41.74391350629313,-72.71475615315977,41.743867348502654,-72.71454873783509,41.743707044943804,-72.71454663061884,41.7437054174462,-72.71423778347769,41.744098483007306,-72.71416437339597,41.74419003722185,-72.71398139590036,41.74442077511271,-72.71364414919525,41.744846034400894,-72.71362466510575,41.744870602524315	182089	PIN	116475023		106001004		131014.8817	1534.429636	AUTO DEALER												
			Polygon	-72.71447750365266,41.74576510975725,-72.71487908051866,41.74583913640637,-72.7149412603846,41.74585059900333,-72.71495133649907,41.74585244073842,-72.71494742498379,41.74582314838497,-72.71493805194713,41.74575295618436,-72.71491980395778,41.74561642224384,-72.71490159268515,41.745479888266125,-72.71489423150598,41.745424728546745,-72.71488918424886,41.74538690793262,-72.71488181057217,41.74538247592112,-72.71487405479357,41.74537875278639,-72.71485727553127,41.745372610812716,-72.71483972102855,41.745369278108434,-72.7148218582614,41.74536884332846,-72.71480416240614,41.74537131803858,-72.71478710419895,41.74537663640782,-72.71477113741365,41.7453846569596,-72.71475668679058,41.745395166335264,-72.71474413673792,41.7454078849697,-72.71467255851354,41.74549864419473,-72.71465924762929,41.745515435174,-72.71447750365266,41.74576510975725	182232	PIN	116474010		301001001		13355.9259	499.3509616	AUTO SERVICE												
			Polygon	-72.71466977944073,41.74595779049097,-72.71489574358607,41.74599474270821,-72.71496407883582,41.74600590529293,-72.71497199325395,41.7460072249547,-72.71497195176329,41.74600691510267,-72.71495622673366,41.74588949013625,-72.71495136034864,41.74585262138075,-72.71495133649907,41.74585244073842,-72.7149412603846,41.74585059900333,-72.71487908051866,41.74583913640637,-72.71447750365266,41.74576510975725,-72.71437254924462,41.745909152617735,-72.71466977944073,41.74595779049097	182279	PIN	116474011		301001002		8361.121765	417.0863367	Three Family												
			Polygon	-72.7146392548593,41.74609200435176,-72.71491043685965,41.746131797004836,-72.71498415914746,41.74614260445755,-72.71499016830678,41.74614351189645,-72.71498089836403,41.74607395065899,-72.71497451151679,41.746026024114194,-72.7149726407507,41.74601205858358,-72.71497199325395,41.7460072249547,-72.71496407883582,41.74600590529293,-72.71489574358607,41.74599474270821,-72.71466977944073,41.74595779049097,-72.7146392548593,41.74609200435176	182324	PIN	116474009		301001003		4423.096863	281.5214082	Two Family												
			Polygon	-72.71429003757981,41.746022411394605,-72.71462412070835,41.746159234809866,-72.7146392548593,41.74609200435176,-72.71466977944073,41.74595779049097,-72.71437254924462,41.745909152617735,-72.71429003757981,41.746022411394605	182330	PIN	116474012		301001038		5529.046631	308.4068127	Three Family												
			Polygon	-72.71422010281735,41.74611871429979,-72.71459815053223,41.746273883264955,-72.71462412070835,41.746159234809866,-72.71429003757981,41.746022411394605,-72.71422010281735,41.74611871429979	182352	PIN	116474013		301001037		4430.799072	303.8773671	Three Family												
			Polygon	-72.71459815053223,41.746273883264955,-72.71458643247647,41.7463260211708,-72.71458345722927,41.74633891841841,-72.71460727735376,41.746336510752045,-72.71491811159213,41.74630490912624,-72.71498180289501,41.7462984245058,-72.71500584287035,41.74629598938097,-72.71501049694733,41.74629552426303,-72.71499272309909,41.746162558041675,-72.71499272309697,41.74616255802159,-72.71499016830678,41.74614351189645,-72.71498415914746,41.74614260445755,-72.71491043685965,41.746131797004836,-72.7146392548593,41.74609200435176,-72.71462412070835,41.746159234809866,-72.71459815053223,41.746273883264955	182365	PIN	116474008		301001004		7722.156555	362.1112662	Duplex												
			Polygon	-72.71414631975487,41.746219955686,-72.71457082135869,41.7463941296444,-72.71458345722927,41.74633891841841,-72.71458643247647,41.7463260211708,-72.71459815053223,41.746273883264955,-72.71422010281735,41.74611871429979,-72.71414631975487,41.746219955686	182383	PIN	116474014		301001035		5247.599121	336.2121934	Three Family												
			Polygon	-72.71457082135869,41.7463941296444,-72.71455366740135,41.74646907092161,-72.71455252884,41.74647379074968,-72.71458606015372,41.74647069999816,-72.71477555774001,41.746453386646515,-72.71499290632562,41.746433529246936,-72.7150256313621,41.74643054789459,-72.71502845310731,41.74643027432272,-72.71502845310609,41.746430274313774,-72.71501463842851,41.74632682611987,-72.71501093475005,41.74629909197224,-72.71501049694733,41.74629552426303,-72.71500584287035,41.74629598938097,-72.71498180289501,41.7462984245058,-72.71491811159213,41.74630490912624,-72.71460727735376,41.746336510752045,-72.71458345722927,41.74633891841841,-72.71457082135869,41.7463941296444	182403	PIN	116474007		301001005		6023.264587	347.6572896	Old Style												
